    32ms · Update    1 · Late   27 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      13KB · t=73.2s
    33ms · Update    1 · Late   29 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      13KB · t=73.3s
    32ms · Update    1 · Late   27 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=73.4s
    34ms · Update    1 · Late   28 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=76.1s
    53ms · Update   48 · Late    0 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC    1347KB · t=76.9s
    35ms · Update    1 · Late   30 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=81.0s
    91ms · Update    1 · Late   31 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨   59 · 야생 26(0) · GC      12KB · t=81.2s
    30ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=81.4s
    39ms · Update    1 · Late   33 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    6 · 야생 26(0) · GC      12KB · t=81.5s
    38ms · Update    1 · Late   33 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=81.5s
    40ms · Update    1 · Late   34 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      12KB · t=81.6s
    39ms · Update    1 · Late   34 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=81.7s
    41ms · Update    1 · Late   34 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    6 · 야생 26(0) · GC      12KB · t=81.8s
    40ms · Update    1 · Late   33 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      12KB · t=81.9s
    40ms · Update    1 · Late   33 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      12KB · t=82.0s
    36ms · Update    1 · Late   26 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    8 · 야생 26(0) · GC      12KB · t=82.0s
    31ms · Update    1 · Late   26 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=82.1s
    32ms · Update    1 · Late   27 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=82.2s
    32ms · Update    1 · Late   26 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=82.3s
    31ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=82.5s
    31ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      12KB · t=82.8s
    39ms · Update    1 · Late   33 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    6 · 야생 26(0) · GC      12KB · t=83.0s
    33ms · Update    1 · Late   28 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=83.1s
    45ms · Update    1 · Late   39 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=83.2s
    33ms · Update    1 · Late   27 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=83.7s
    31ms · Update    1 · Late   26 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=83.8s
    31ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=83.8s
    30ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=83.9s
    30ms · Update    1 · Late   26 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    3 · 야생 26(0) · GC      12KB · t=84.1s
    51ms · Update    1 · Late    0 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨   50 · 야생 26(0) · GC      12KB · t=84.5s
    30ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      16KB · t=84.5s
    77ms · Update    1 · Late   23 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨   53 · 야생 26(0) · GC      12KB · t=84.8s
    37ms · Update    1 · Late   29 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    7 · 야생 26(0) · GC      12KB · t=86.1s
    36ms · Update    1 · Late   30 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      57KB · t=86.2s
    31ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      57KB · t=86.4s
    30ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    5 · 야생 26(0) · GC      13KB · t=87.1s
    32ms · Update    1 · Late   28 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=87.3s
    34ms · Update    1 · Late   29 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=87.6s
    45ms · Update    1 · Late    0 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨   44 · 야생 26(0) · GC      12KB · t=87.7s
    31ms · Update    1 · Late   24 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    6 · 야생 26(0) · GC     231KB · t=87.7s
    35ms · Update    1 · Late   24 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨   11 · 야생 26(0) · GC      12KB · t=88.1s
    30ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    4 · 야생 26(0) · GC      12KB · t=89.2s
    32ms · Update    1 · Late   25 · 애니   0 · 렌더   0 · 컬링   0 · GPU   0/  0 · 셰이더   0 · 설명안됨    6 · 야생 26(0) · GC      12KB · t=89.3s
